name,catalog,class,significance,cat_name,var_flag,streak_src_flag,pileup_flag,ra,dec,offset,missing,sat_src_flag,extent_flag,conf_flag,cat_ra,cat_dec
2CXO J002359.4-720438,hea,CV,3.4285714285714977,CXOGLB J002359.3-720438,0,0,0,5.997522892605161,-72.07739294942016,0.00021751108452523096,0.35384615384615387,0,0,0,5.997523,-72.077393
2CXO J174041.4-534004,hea,CV,64.72718041506323,1WGA J1740.6-5340      ,0,0,0,265.1728531061184,-53.66793501128903,0.00022995659170100839,0.4153846153846154,0,0,0,265.172853,-53.667935
2CXO J002409.2-720543,hea,CV,6.103519863363854,CXOGLB J002409.2-720543,1,0,0,6.038483183576375,-72.09554403296575,0.0002352945110305541,0.4153846153846154,0,0,0,6.038483,-72.09554399999998
2CXO J002411.1-720620,hea,CV,13.755013878236944,CXOGLB J002411.0-720620,1,0,0,6.046367232890417,-72.10558304937643,0.00031298676365775266,0.4153846153846154,0,0,0,6.046367,-72.105583
2CXO J002401.4-720441,hea,CV,5.629648439094707,CXOGLB J002401.4-720441,0,0,0,6.0059878779158,-72.07831091970223,0.0003191443509903333,0.4153846153846154,0,0,0,6.005987999999999,-72.078311
2CXO J002402.1-720450,hea,CV,3.1428571428571033,CXOGLB J002402.1-720450,0,0,0,6.008913169045683,-72.08072692649941,0.0003241504302028935,0.5384615384615384,0,0,0,6.008913,-72.080727
2CXO J004241.2+411701,hea,CV,3.875000000000047,[HPH2013] 125          ,0,0,0,10.671809924204524,41.28369992543497,0.00033778672356801824,0.6307692307692307,0,0,0,10.67181,41.2837
2CXO J004252.8+411638,hea,CV,4.411764705882312,[HPH2013] 233          ,0,0,0,10.720157953618296,41.27745589857778,0.0003860817430812908,0.6307692307692307,0,0,0,10.720158,41.277456
2CXO J002410.0-720441,hea,CV,8.279288591797322,CXOGLB J002410.0-720441,0,0,0,6.042058580528022,-72.07813096007614,0.0004864067466416207,0.4153846153846154,0,0,0,6.042059,-72.078131
2CXO J002407.1-720545,hea,CV,18.168453609963624,CXOGLB J002407.1-720545,0,0,0,6.029836561438684,-72.09607497435769,0.0004940644675193835,0.35384615384615387,0,0,0,6.0298370000000014,-72.096075
